,5830.T      # いよぎんホールディングス,5831.T      # しずおかフィナンシャルグループ,5844.T      # 京都フィナンシャルグループ,7167.T      # めぶきフィナンシャルグループ,7186.T      # コンコルディア・フィナンシャルグループ,8331.T      # 千葉銀行,7173.T      # 東京きらぼしフィナンシャルグループ,7180.T      # 九州フィナンシャルグループ,7184.T      # 富山第一銀行,R_BANK9
2025-10-10 00:00:00+00:00,,,,,,0.0,,,,0.0
2025-10-10 00:05:00+00:00,-0.7677989762680304,-1.3333333333333308,-1.6367642429965357,-2.1663320579567658,-0.8003557136505135,-0.6572461386789352,-1.085481682496603,-1.0854661640192886,-1.3236267372600974,-1.206267227406678
2025-10-10 00:10:00+00:00,-0.5816658911121486,-1.1358024691358048,-1.6367642429965357,-1.8493078543533326,-0.8448199199644235,-0.6243838317449901,-0.8141112618724522,-0.9140767697004559,-1.3898080741231,-1.0878600350003604
2025-10-10 00:15:00+00:00,-0.9073987901349501,-1.061728395061723,-1.8570978910922298,-1.807035380589972,-0.8448199199644235,-0.6901084456128803,-0.8141112618724522,-0.9255069136330896,-1.3236267372600974,-1.136825970580202
2025-10-10 00:20:00+00:00,-0.9073987901349501,-1.0370370370370363,-1.8885741265344702,-1.7858991437082916,-0.8448199199644235,-0.6572461386789352,-0.4070556309362261,-0.9140767697004559,-1.191264063534081,-1.0703746244698746
2025-10-10 00:25:00+00:00,-1.0004653327128854,-1.2098765432098757,-1.9830028328611915,-1.8281716174716522,-0.9782125389061758,-0.9201445941505071,-0.6784260515603768,-1.1654492761385415,-1.2574454003970836,-1.2245771319342544
2025-10-10 00:30:00+00:00,-0.9073987901349501,-1.3086419753086442,-1.9830028328611915,-1.8493078543533326,-0.9337483325922658,-0.6901084456128803,-0.5427408412483015,-1.2454323882577945,-1.3236267372600974,-1.1982231330699398
2025-10-10 00:35:00+00:00,-1.116798510935324,-1.6049382716049387,-2.51809883537929,-2.1029233473117137,-1.111605157847928,-1.1173184357541888,-0.8141112618724522,-1.4853747507632353,-1.588352084712108,-1.495502295131242
2025-10-10 00:40:00+00:00,-1.0004653327128854,-1.5308641975308679,-2.392193893610328,-2.1451958210750743,-1.0226767452200969,-0.9530069010844522,-0.8141112618724522,-1.7824538852272642,-1.4559894109861027,-1.4552174943688359
2025-10-10 00:45:00+00:00,-1.2331316891577515,-1.7037037037037073,-2.7069562480327325,-2.47278491818238,-1.1560693641618491,-1.183043049622079,,-2.022396247732716,-1.786896095301127,-1.783122664486793
2025-10-10 00:50:00+00:00,-1.0935318752908318,-1.7037037037037073,-2.5810513062637708,-2.3671101836479025,-1.2005335704757703,-1.183043049622079,-0.9497964721845276,-1.976689619706773,-1.985440105890135,-1.671211098531722
2025-10-10 00:55:00+00:00,-0.8841321544904579,-1.654320987654323,-2.51809883537929,-2.35654529014403,-1.111605157847928,-1.0844561288202437,-0.9497964721845276,-1.8053002253879291,-1.786896095301127,-1.572350149689984
2025-10-10 01:00:00+00:00,-1.3029315960912058,-1.851851851851849,-2.6440037771482516,-2.515057391945741,-1.1560693641618491,-1.183043049622079,-1.085481682496603,-1.9995429337197446,-1.8530774321641297,-1.7323398976890503
2025-10-10 01:05:00+00:00,-1.4192647743136333,-2.0000000000000018,-2.7069562480327325,-2.6312970199840913,-1.2894619831036014,-1.2816299704239253,-1.4925373134328401,-2.1480790140256056,-2.382528127068162,-1.9279727167093992
2025-10-10 01:10:00+00:00,-1.6984644020474615,-2.0000000000000018,-2.801384954359454,-2.8109453586674937,-1.4673188083592748,-1.4130791981597057,-1.6282225237449155,-2.262338610238157,-2.382528127068162,-2.0515868869605143
2025-10-10 01:15:00+00:00,-1.9776640297812897,-2.0000000000000018,-2.895813660686186,-2.7898091217858134,-1.4228546020453536,-1.2816299704239253,-1.4925373134328401,-2.3080452382641004,-2.4487094639311757,-2.068562600038965
2025-10-10 01:20:00+00:00,-1.814797580269889,-1.975308641975304,-2.895813660686186,-2.8426464890530467,-1.3339261894175225,-1.2159053565560352,-1.4925373134328401,-2.3880283503833533,-2.5148908007941784,-2.0526504869520394
